agency_id,agency_name,address,city,state,county_name,rdi,latitude,longitude,dpv_match_code,dpv_footnotes,county_fips,record_type,congressional_district,time_zone,primary_number,street_name,street_predirection,street_postdirection,street_suffix,zipcode,postcard_design,handwritten_address,returned,means_user,signed_up_date
4203,Idaho County Foodbank,113 W North St,Grangeville,ID,Idaho,Commercial,45.92664,-116.11999,Y,AABB,16049,S,1,Pacific,113,North,W,,St,83530,A,TRUE,TRUE,FALSE,
4255,Apostolic Assembly-Nampa,119 1st Ave N,Nampa,ID,Canyon,Commercial,43.59082,-116.57121,Y,AABB,16027,S,1,Mountain,119,1st,,N,Ave,83687,A,TRUE,TRUE,FALSE,
6246,Brewer Christian Food Cupboard,71 Center St,Brewer,ME,Penobscot,Commercial,44.79685,-68.76243,Y,AABB,23019,S,2,Eastern,71,Center,,,St,4412,B,TRUE,TRUE,FALSE,
6279,Area Interfaith Outreach,70 Thomaston St,Rockland,ME,Knox,Commercial,44.09231,-69.11947,Y,AABB,23013,S,1,Eastern,70,Thomaston,,,St,4841,B,TRUE,TRUE,FALSE,
6323,Living Word Community Food Cupboard,1207 W Main St,Dover Foxcroft,ME,Piscataquis,Commercial,45.18029,-69.27393,Y,AABB,23021,S,2,Eastern,1207,Main,W,,St,4426,A,TRUE,TRUE,FALSE,
6397,Wells Pentecostal Church Food Pantry,131 Crediford Rd,Wells,ME,York,Residential,43.32841,-70.62636,Y,AABB,23031,S,1,Eastern,131,Crediford,,,Rd,4090,A,TRUE,TRUE,FALSE,
9134,Fall Mountain Emergency Food Shelf,122 Main St,Charlestown,NH,Sullivan,Residential,43.23789,-72.42501,Y,AABB,33019,S,2,Eastern,122,Main,,,St,3603,A,TRUE,TRUE,FALSE,
11567,Community Resources - Weatherization,113 Ann St,Parkersburg,WV,Wood,Residential,39.26544,-81.56663,Y,AABB,54107,S,1,Eastern,113,Ann,,,St,26101,A,TRUE,TRUE,FALSE,
11828,St. Christopher Episcopal Church,800 S Midwest Blvd,Midwest City,OK,Oklahoma,Commercial,35.45762,-97.3884,Y,AABB,40109,S,4,Central,800,Midwest,S,,Blvd,73110,A,TRUE,TRUE,FALSE,
11844,Church at the North Gate,6705 N I 35 Frontage Rd,Edmond,OK,Oklahoma,Commercial,35.72418,-97.41751,Y,AABB,40109,S,5,Central,6705,I 35 Frontage,N,,Rd,73034,B,TRUE,TRUE,FALSE,
11909,Salvation Army,114 S 1st St,Madill,OK,Marshall,Commercial,34.08945,-96.77154,Y,AABB,40095,S,2,Central,114,1st,S,,St,73446,A,TRUE,TRUE,FALSE,
11938,Muskogee County CAP,1313 N Main St,Muskogee,OK,Muskogee,Commercial,35.76115,-95.36136,Y,AABB,40101,S,2,Central,1313,Main,N,,St,74401,B,TRUE,TRUE,FALSE,
11998,Community Care Inc of Sapulpa,12 W Burnham Ave,Sapulpa,OK,Creek,Residential,35.9801,-96.1164,Y,AABB,40037,S,3,Central,12,Burnham,W,,Ave,74066,A,TRUE,TRUE,FALSE,
12002,Inter-Faith Soc Ministry,813 N Main St,Seminole,OK,Seminole,Commercial,35.23109,-96.66862,Y,AABB,40133,S,5,Central,813,Main,N,,St,74868,B,TRUE,TRUE,FALSE,
12988,Your Daily Bread Food Bank,131 Dean Dr,Clarksville,TN,Montgomery,Commercial,36.51315,-87.36565,Y,AABB,47125,S,7,Central,131,Dean,,,Dr,37040,A,TRUE,TRUE,FALSE,
14648,Canaan United Methodist Church,731 Bigley Ave,Charleston,WV,Kanawha,Commercial,38.36058,-81.64061,Y,AABB,54039,S,2,Eastern,731,Bigley,,,Ave,25302,B,TRUE,TRUE,FALSE,
4160,World Harvest Church of God of Prophecy,803 Main St,Caldwell,ID,Canyon,Commercial,43.66574,-116.68619,Y,AABB,16027,S,1,Mountain,803,Main,,,St,83605,B,TRUE,TRUE,FALSE,
